hour,day_of_week,is_rush_hour,stop_lat,stop_lon,crowd_level_code
13,2,0,12.9716,77.5946,1
22,0,0,12.9716,77.5946,1
22,1,0,12.9716,77.5946,0
19,6,1,12.9716,77.5946,2
11,1,0,12.9716,77.5946,1
13,1,0,12.9716,77.5946,1
11,5,0,12.9716,77.5946,1
17,6,1,12.9716,77.5946,2
16,6,0,12.9716,77.5946,0
7,5,1,12.9716,77.5946,2
6,3,0,12.9716,77.5946,1
9,5,1,12.9716,77.5946,2
7,2,1,12.9716,77.5946,2
20,2,0,12.9716,77.5946,1
22,1,0,12.9716,77.5946,0
19,0,1,12.9716,77.5946,2
11,4,0,12.9716,77.5946,1
19,2,1,12.9716,77.5946,2
6,3,0,12.9716,77.5946,1
21,3,0,12.9716,77.5946,0
22,2,0,12.9716,77.5946,1
19,6,1,12.9716,77.5946,2
12,1,0,12.9716,77.5946,0
15,4,0,12.9716,77.5946,1
15,2,0,12.9716,77.5946,1
20,1,0,12.9716,77.5946,1
14,4,0,12.9716,77.5946,1
10,4,0,12.9716,77.5946,0
15,3,0,12.9716,77.5946,1
8,5,1,12.9716,77.5946,2
13,3,0,12.9716,77.5946,0
6,4,0,12.9716,77.5946,1
7,2,1,12.9716,77.5946,2
10,2,0,12.9716,77.5946,1
22,3,0,12.9716,77.5946,1
12,1,0,12.9716,77.5946,1
7,2,1,12.9716,77.5946,2
10,0,0,12.9716,77.5946,0
16,5,0,12.9716,77.5946,1
10,5,0,12.9716,77.5946,1
17,4,1,12.9716,77.5946,2
6,0,0,12.9716,77.5946,0
8,5,1,12.9716,77.5946,2
10,0,0,12.9716,77.5946,1
12,3,0,12.9716,77.5946,0
6,0,0,12.9716,77.5946,0
20,2,0,12.9716,77.5946,1
7,2,1,12.9716,77.5946,2
18,0,1,12.9716,77.5946,2
21,0,0,12.9716,77.5946,1
13,3,0,12.9716,77.5946,1
11,4,0,12.9716,77.5946,1
18,1,1,12.9716,77.5946,2
18,3,1,12.9716,77.5946,2
10,3,0,12.9716,77.5946,0
19,2,1,12.9716,77.5946,2
18,1,1,12.9716,77.5946,2
14,6,0,12.9716,77.5946,0
17,5,1,12.9716,77.5946,2
15,2,0,12.9716,77.5946,1
