route_long_name,route_short_name,agency_id,route_type,route_id,total_stops,avg_stop_lat,avg_stop_lon
10th Cross Lingadhiranahalli ⇔ 10th Cross Magadi Road,Vivek_Test14,1,3,Vivek_Test14,9360,12.988787012820513,77.58021691025641
11th Block Anjanapura ⇔ Vidhana Soudha,215-NE,1,3,215-NE ANP11-KMT-VSD,9360,12.988787012820513,77.58021691025641
11th Block Anjanapura ⇔ Vidhana Soudha,215-NE,1,3,215-NE ANP11-MNRV-VSD,9360,12.988787012820513,77.58021691025641
1st Block Vishweshwaraiah Layout ⇔ Kengeri Bus Station,VLO1-KGR,1,3,VLO1-KGR,9360,12.988787012820513,77.58021691025641
2nd stage Kuvempunagara ⇔ Jalahalli East,2KVP-JHE,1,3,2KVP-JHE,9360,12.988787012820513,77.58021691025641
5th Phase Yelahanka New Town ⇔ Doddaballapura Bus Stand,285-MC,1,3,285-MC YSTF-NES-DBP,9360,12.988787012820513,77.58021691025641
5th Phase Yelahanka New Town ⇔ Hosakote Bus Stand (Old),280-F,1,3,280-F YSTF-HSK,9360,12.988787012820513,77.58021691025641
5th Phase Yelahanka New Town ⇔ KR Pura Govt Hospital,507-D,1,3,507-D,9360,12.988787012820513,77.58021691025641
5th Phase Yelahanka New Town ⇔ Shivajinagara Bus Station,402-B,1,3,402-B YSTF-VSD-SBS,9360,12.988787012820513,77.58021691025641
5th Phase Yelahanka New Town ⇔ Shivajinagara Bus Station,G-9 SBS-YSTF,1,3,G-9 SBS-YSTF,9360,12.988787012820513,77.58021691025641
80 feet Road Kalyananagara ⇔ Shivajinagara Bus Station,302 KLN-SBS,1,3,302 KLN-SBS,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7C,1,3,BC-7C,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7CA,1,3,BC-7CA,9360,12.988787012820513,77.58021691025641
