stop_id,stop_name,stop_lat,stop_lon,service_type,total_routes,hour,day_of_week,passenger_count,crowd_level,crowd_level_code,day_type,time_period,is_rush_hour
26089,(Theneyuru)I Basapura Gate,13.22602,77.83624,Weekday,4190,12,6,64,High,2,Weekend,Midday,0
29374,10th Cross Lingadhiranahalli,13.00951,77.47431,Weekday,4190,9,2,117,Very High,3,Weekday,Midday,1
20558,10th Cross Magadi Road,12.97556,77.55562,Weekday,4190,18,5,97,Very High,3,Weekend,Evening Rush,1
20559,10th Cross Magadi Road,12.97574,77.55706,Weekday,4190,20,6,27,Low,0,Weekend,Night,0
29375,10th Stone NICE Road,12.87273,77.4986,Weekday,4190,16,4,17,Low,0,Weekday,Midday,0
35415,10th Stone NICE Road,12.87242,77.49865,Weekday,4190,13,0,47,Medium,1,Weekday,Midday,0
29373,11th Block Anjanapura,12.85225,77.57235,Weekday,4190,18,1,105,Very High,3,Weekday,Evening Rush,1
35416,11th Block Anjanapura,12.85224,77.57265,Weekday,4190,10,4,90,High,2,Weekday,Midday,0
21629,12th Block Nagarabhavi,12.96018,77.51398,Weekday,4190,12,5,51,Medium,1,Weekend,Midday,0
21630,12th Block Nagarabhavi,12.96076,77.51351,Weekday,4190,15,3,76,High,2,Weekday,Midday,0
22869,12th Main 7th Cross BTM Layout,12.91393,77.61007,Weekday,4190,8,0,82,High,2,Weekday,Morning Rush,1
22873,13th Main 7th Cross BTM Layout,12.914,77.61002,Weekday,4190,12,4,99,Very High,3,Weekday,Midday,0
20568,14th Main HSR Layout,12.91637,77.63472,Weekday,4190,16,0,81,High,2,Weekday,Midday,0
20569,14th Main HSR Layout,12.91619,77.63521,Weekday,4190,16,1,52,Medium,1,Weekday,Midday,0
29381,14th Main HSR Layout,12.91972,77.63844,Weekday,4190,13,5,47,Medium,1,Weekend,Midday,0
35422,14th Main HSR Layout,12.91966,77.63831,Weekday,4190,10,6,38,Medium,1,Weekend,Midday,0
22881,16th Main Hopcoms BTM Layout,12.91971,77.61036,Weekday,4190,9,3,121,Very High,3,Weekday,Midday,1
