stop_id,stop_name,stop_lat,stop_lon,hour,day_of_week,is_rush_hour,is_weekend,crowd_level_code,crowd_level
31149,Kodigehalli Gate,13.00361,77.72341,12,3,0,0,1,Medium
31149,Kodigehalli Gate,13.00361,77.72341,16,4,0,0,1,Medium
31149,Kodigehalli Gate,13.00361,77.72341,16,2,0,0,1,Medium
32525,Doddabadhegere Gate,12.669,77.48293,9,2,1,0,2,High
32525,Doddabadhegere Gate,12.669,77.48293,7,3,1,0,3,Very High
32525,Doddabadhegere Gate,12.669,77.48293,7,3,1,0,2,High
22406,PVP School,12.94825,77.49711,17,1,1,0,3,Very High
22406,PVP School,12.94825,77.49711,17,0,1,0,2,High
22406,PVP School,12.94825,77.49711,15,3,0,0,1,Medium
28370,Shobha Apartment,12.73952,77.73455,20,5,0,1,0,Low
28370,Shobha Apartment,12.73952,77.73455,20,5,0,1,0,Low
28370,Shobha Apartment,12.73952,77.73455,17,6,1,1,1,Medium
35657,Avalakuppe Cross,13.02384,77.34843,8,4,1,0,3,Very High
35657,Avalakuppe Cross,13.02384,77.34843,14,6,0,1,0,Low
35657,Avalakuppe Cross,13.02384,77.34843,19,1,1,0,2,High
33798,Manchanabele,12.86711,77.33455,7,3,1,0,2,High
33798,Manchanabele,12.86711,77.33455,12,3,0,0,1,Medium
33798,Manchanabele,12.86711,77.33455,20,2,0,0,0,Low
29841,BEL Circle,13.04339,77.55713,19,0,1,0,2,High
29841,BEL Circle,13.04339,77.55713,7,5,1,1,0,Low
29841,BEL Circle,13.04339,77.55713,17,1,1,0,2,High
33644,Kuvempu Circle,12.90995,77.52104,21,6,0,1,1,Medium
33644,Kuvempu Circle,12.90995,77.52104,13,4,0,0,2,High
33644,Kuvempu Circle,12.90995,77.52104,18,0,1,0,3,Very High
24073,Koramangala Police Station,12.94167,77.62151,12,0,0,0,2,High
24073,Koramangala Police Station,12.94167,77.62151,16,2,0,0,1,Medium
24073,Koramangala Police Station,12.94167,77.62151,6,2,0,0,0,Low
21079,Pattandur Agrahara Gate,12.98803,77.73354,14,3,0,0,1,Medium
21079,Pattandur Agrahara Gate,12.98803,77.73354,13,3,0,0,1,Medium
21079,Pattandur Agrahara Gate,12.98803,77.73354,21,6,0,1,0,Low
24349,Vittasandra Bettadasanapura,12.85724,77.63575,10,2,0,0,1,Medium
24349,Vittasandra Bettadasanapura,12.85724,77.63575,8,0,1,0,2,High
24349,Vittasandra Bettadasanapura,12.85724,77.63575,20,5,0,1,0,Low
28976,Mellahalli,12.81822,77.27789,8,0,1,0,3,Very High
28976,Mellahalli,12.81822,77.27789,19,6,1,1,0,Low
28976,Mellahalli,12.81822,77.27789,20,6,0,1,0,Low
29925,Bettahalli,13.16378,77.38642,15,3,0,0,0,Low
29925,Bettahalli,13.16378,77.38642,12,0,0,0,1,Medium
29925,Bettahalli,13.16378,77.38642,9,5,1,1,0,Low
32180,Byramangala,12.74879,77.42433,12,4,0,0,1,Medium
32180,Byramangala,12.74879,77.42433,9,4,1,0,2,High
32180,Byramangala,12.74879,77.42433,7,1,1,0,3,Very High
23461,Royal Layout,12.86924,77.57581,11,3,0,0,1,Medium
23461,Royal Layout,12.86924,77.57581,17,3,1,0,3,Very High
23461,Royal Layout,12.86924,77.57581,16,1,0,0,0,Low
22366,Noor Nagara,13.08,77.63398,12,5,0,1,0,Low
22366,Noor Nagara,13.08,77.63398,18,0,1,0,2,High
22366,Noor Nagara,13.08,77.63398,11,2,0,0,1,Medium
35458,Anugondanahalli,12.9571,77.81524,10,0,0,0,0,Low
35458,Anugondanahalli,12.9571,77.81524,17,6,1,1,0,Low
35458,Anugondanahalli,12.9571,77.81524,14,3,0,0,1,Medium
22332,Nagenahalli,13.17291,77.76141,22,1,0,0,1,Medium
22332,Nagenahalli,13.17291,77.76141,12,1,0,0,1,Medium
22332,Nagenahalli,13.17291,77.76141,10,0,0,0,1,Medium
34399,Rani Circle,13.2674,77.71954,22,1,0,0,0,Low
34399,Rani Circle,13.2674,77.71954,10,0,0,0,1,Medium
34399,Rani Circle,13.2674,77.71954,7,4,1,0,3,Very High
33010,Hunnigere Cross,13.03914,77.39107,11,6,0,1,0,Low
33010,Hunnigere Cross,13.03914,77.39107,16,2,0,0,0,Low
33010,Hunnigere Cross,13.03914,77.39107,11,4,0,0,1,Medium
22811,Yalachagere Cross,13.09266,77.35927,11,5,0,1,0,Low
22811,Yalachagere Cross,13.09266,77.35927,21,0,0,0,0,Low
22811,Yalachagere Cross,13.09266,77.35927,11,4,0,0,1,Medium
23743,Shanubhoganahalli Bannerughatta,12.8267,77.56146,9,2,1,0,3,Very High
23743,Shanubhoganahalli Bannerughatta,12.8267,77.56146,12,3,0,0,1,Medium
23743,Shanubhoganahalli Bannerughatta,12.8267,77.56146,13,6,0,1,1,Medium
31823,Vaderahalli,12.74088,77.4808,6,2,0,0,0,Low
31823,Vaderahalli,12.74088,77.4808,15,2,0,0,0,Low
31823,Vaderahalli,12.74088,77.4808,21,1,0,0,1,Medium
32914,Herohalli Cross,12.98796,77.49385,22,1,0,0,1,Medium
32914,Herohalli Cross,12.98796,77.49385,17,4,1,0,3,Very High
32914,Herohalli Cross,12.98796,77.49385,14,0,0,0,1,Medium
24669,Choudappa Layout,13.10983,77.5281,21,2,0,0,1,Medium
24669,Choudappa Layout,13.10983,77.5281,6,3,0,0,0,Low
24669,Choudappa Layout,13.10983,77.5281,13,3,0,0,1,Medium
32816,Hakki Pikki Colony Cross,12.83922,77.39814,8,5,1,1,1,Medium
32816,Hakki Pikki Colony Cross,12.83922,77.39814,19,1,1,0,3,Very High
32816,Hakki Pikki Colony Cross,12.83922,77.39814,8,4,1,0,2,High
21192,St Johns Hospital,12.92907,77.61527,6,3,0,0,0,Low
21192,St Johns Hospital,12.92907,77.61527,13,6,0,1,0,Low
21192,St Johns Hospital,12.92907,77.61527,21,3,0,0,0,Low
34592,Siddanayakanahalli,13.29816,77.54992,19,5,1,1,1,Medium
34592,Siddanayakanahalli,13.29816,77.54992,18,2,1,0,3,Very High
34592,Siddanayakanahalli,13.29816,77.54992,7,4,1,0,3,Very High
24262,Devasandra,13.00618,77.70009,20,0,0,0,0,Low
24262,Devasandra,13.00618,77.70009,10,3,0,0,1,Medium
24262,Devasandra,13.00618,77.70009,9,2,1,0,3,Very High
